Filename,Sentence,manual_emotion,manual_sentiment
AMQ-6548,"At ear stop jsm connection consumes messages, although there occured exception",surprise,-1
STORM-3073,Saw this while running the https://github.com/apache/storm/blob/master/examples/storm-loadgen/src/main/java/org/apache/storm/loadgen/ThroughputVsLatency.java topology..,/,
STORM-3073,"The executor's pendingEmits queue is full, and the executor then tries to add another tuple.",/,
STORM-3073,It looks to me like we're preventing the queue from filling by emptying it between calls to nextTuple at https://github.com/apache/storm/blob/master/storm-client/src/jvm/org/apache/storm/executor/spout/SpoutExecutor.java#L184..,/,
STORM-3073,"The TVL topology reemits failed tuples directly from the fail method, which can be triggered by tick tuples.",/,
STORM-3073,"If the pendingEmits queue is already close to full when this happens, we might hit the error above.",fear,-1
STORM-3073,"I think it can also happen if nextTuple emits too many tuples in a call, or if too many metrics ticks happen between pendingEmit flushes, since metrics ticks also trigger emits.",fear,-1
MAPREDUCE-838,"In MAPREDUCE-837, job succeeded with empty output even though all the tasks were throwing IOException at commiter.commitTask.",surprise,-1
HDFS-872,"After upgrading to that latest HDFS 0.20.2 (r896310 from /branches/branch-0.20), old DFS clients (0.20.1) seem to not work anymore.",/,
HDFS-872,HBase uses the 0.20.1 hadoop core jars and the HBase master will no longer startup.,/,
HDFS-872,Here is the exception from the HBase master log:.,/,
HDFS-872,"If I switch the hadoop jars in the hbase/lib directory with 0.20.2 version it works well, which what led me to open this bug here and not in the HBASE project.",/,
ZOOKEEPER-1898,zookeeper-cli always return "0" as exit code whether the command has been successful or not.. Ex:.,Sadness,-1
ZOOKEEPER-1898,Unsuccessful:.,/,
ZOOKEEPER-1898,Successful:,/,
YARN-174,"The NM then calls System.exit(-1), which makes the unit test exit and produces an error that is hard to track down.",Sadness,-1
HIVE-11902,When cleaning left over transactions we see the DeadTxnReaper code threw the following exception:.,/,
HIVE-11902,"The problem here is that the method {{abortTxns(Connection dbConn, List<Long> txnids)}} in metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java creates the following bad query when txnids list is empty.",Sadness,-1
STORM-2568,Hello.,/,
STORM-2568,"I've tried to use storm-kafka-monitor, and it works fine on command line If I changed 'toollib/storm-kafka-monitor-*.jar' to 'toollib/storm-kafka-monitor-1.1.0.jar'.. but it gives empty result when I call below api.. -I think that needs to fix ""groupid"" to ""group.id"" in TopologySpoutLag.java I debug it, but groupid is right.-.",surprise,-1
STORM-2568,the reason was topics has square brackets in command.,/,
STORM-2568,the square brackets automatically added because of this.,/,
STORM-2568,topics is Collections.,/,
STORM-2568,so String.valueOf returns value with square brackets..,/,
STORM-2568,I fixed the code that remove square brackets in TopologySpoutLag.java for my case.,/,
STORM-2568,but I think that fixing 'getTopicsString of NamedSubscription.java in org.apache.storm.kafka.spout' is might be better.,/,
HADOOP-2486,Note: I'm really not sure if this is a bug in my code or in mapred.,surprise,-1
HADOOP-2486,"With my mapreduce job without combiner,  I sometimes see   # of total Map output records != # of total Reduce input records.",/,
HADOOP-2486,"What's weird to me is, when I rerun my code with exact same input, usually I get an expected #map output recs == #reduce output recs..",surprise,-1
HADOOP-2486,Both jobs finish successfully.,/,
HADOOP-2486,No failed tasks.,/,
HADOOP-2486,No speculative execution.,/,
HADOOP-2486,I ran separate linecount mapred jobs on both the input and the output to see if  the counters are reporting the correct number.,/,
HADOOP-2486,"When I looked at all the 513 reducer counter, I found single reducer with different counts for the two runs.",/,
HADOOP-2486,"Only error stood out in that  reducer userlog is, .",/,
HADOOP-2486,Could this error be somehow related to my having different # of records?,/,
ZOOKEEPER-1864,"This bug was found when using ZK 3.5.0 with curator-test 2.3.0.. curator-test is building a QuorumPeerConfig from a Properties object and then when we try to run the quorum peer using that configuration, we get an NPE:.",surprise,-1
ZOOKEEPER-1864,The reason that this happens is because QuorumPeerConfig:parseProperties only peforms a subset of what 'QuorumPeerConfig:parse(String path)' does.,/,
ZOOKEEPER-1864,The exact additional task performed that we need in parseProperties is the dynamic config backwards compatibility check:,/,
HADOOP-5539,hadoop-site.xml :.,/,
HADOOP-5539,mapred.compress.map.output = true.,/,
HADOOP-5539,map output files are compressed but when the in memory merger closes .,surprise,-1
HADOOP-5539,on the reduce the on disk merger runs to reduce input files to <= io.sort.factor if needed.,/,
HADOOP-5539,when this happens it outputs files called intermediate.x files these .,/,
HADOOP-5539,do not maintain compression setting the writer (o.a.h.mapred.Merger.class line 432).,/,
HADOOP-5539,passes the codec but I added some logging and its always null map output compression set true or false..,/,
HADOOP-5539,This causes task to fail if they can not hold the uncompressed size of the data of the reduce its holding.,/,
HADOOP-5539,I thank this is just and oversight of the codec not getting set correctly for the on disk merges..,/,
HADOOP-5539,I added .,/,
